Country,ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
France,"Rays, stingrays, mantas nei",Mediterranean and Black Sea,Capture production,Tonnes - live weight,311,252,279,270,246,9,7,6,0,215,174,198,172,135,86,15,75,75,75,46,70
France,Sandy ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,498,503,430,356,397,431,438,438,410,435,369
France,Shagreen ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,372,113,89,43,67,63,83,105,69,88,71,56,51,46,39,38,65,38
France,"Sharks, rays, skates, etc. nei","Atlantic, Eastern Central",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Sharks, rays, skates, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,837,58,380,5,0,0,0,0,0,0,0,8,18,0,0,2,0,0,0,0,0
France,"Sharks, rays, skates, etc. nei","Atlantic, Southeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Sharks, rays, skates, etc. nei","Indian Ocean, Western",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Sharks, rays, skates, etc. nei",Mediterranean and Black Sea,Capture production,Tonnes - live weight,139,154,164,150,47,0,7,0,0,0,0,0,0,0,0,0,28,0,0,43,0
France,Small-eyed ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0
France,Small-spotted catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,5475,0,6318,7133,5974,6017,7519,6767,7707,6282,6132,5981,5247,5019,4975,5022,4871,5338,5480,5707,5914
France,Small-spotted catshark,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
France,Spotted ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,115,200,438,939,1180,757,943,892,927,992,1172,1120,953,925,977,1163,1179,1260,1341
France,Spotted ray,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Starry ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Stingrays nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,6,0,0,0,0,0,0,0,2,2,3,1,2,0,1,2,5,6,10
France,Thornback ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,1951,0,3006,2017,1910,3417,3544,3079,2970,2547,2601,2609,2255,1745,1577,1749,1756,1579,1343,1290,1222
France,Thornback ray,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29
France,Tope shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,1014,1669,478,422,1257,602,705,458,408,445,279,291,301,317,403,454,369,386,450
France,Tope shark,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Torpedo rays,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,1,6,11,1,4,14,17,19,15,21,21,20,16,18,19,34,32
France,Undulate ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Undulate ray,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,White skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,White skate,Mediterranean and Black Sea,Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
