,species,body.mass,brain.mass,bearing.mode,trophic.mode,repro.coarse,max.size,habitat,mean.depth
114,Hexanchus_griseus,5570,4.56,live-bearing,lecithotroph,lecithotrophic_lb,600,Deep,1087.5
115,Notorynchus_cepedianus,22171.33333,5.698333333,live-bearing,lecithotroph,lecithotrophic_lb,291,Shelf,23
116,Alopias_vulpinus,7050.5,11.3966,live-bearing,matrotroph,matrotrophic_lb,630,Pelagic,183
117,Alopias_superciliosus,62730,30.05,live-bearing,matrotroph,matrotrophic_lb,422,Pelagic,250
118,Cetorhinus_maximus,2.00E+06,29.1,live-bearing,matrotroph,matrotrophic_lb,1276,Pelagic,0
119,Carcharodon_carcharias,1628600,36.75,live-bearing,matrotroph,matrotrophic_lb,600,Shelf,50
120,Isurus_oxyrinchus,186533.3333,25.58762195,live-bearing,matrotroph,matrotrophic_lb,385,Pelagic,76
121,Megachasma_pelagios,1040000,19.8,live-bearing,matrotroph,matrotrophic_lb,NA,Pelagic,150
122,Carcharias_taurus,152400,14.254,live-bearing,matrotroph,matrotrophic_lb,316,Shelf,95.5
123,Pseudocarcharias_kamoharai,3900,4.8,live-bearing,matrotroph,matrotrophic_lb,122,Pelagic,150
124,Brachaelurus_waddi,690,1.393,live-bearing,lecithotroph,lecithotrophic_lb,120,Shelf,55
125,Ginglymostoma_cirratum,45300,31.65,live-bearing,lecithotroph,lecithotrophic_lb,265,Shelf,6
126,Nebrius_ferrugineus,32200,15.16,live-bearing,matrotroph,matrotrophic_lb,320,Shelf,20
127,Chiloscyllium_punctatum,700,2.16,egg-laying,lecithotroph,egg-laying,118,Shelf,42.5
128,Hemiscyllium_ocellatum,640,0.891,egg-laying,lecithotroph,egg-laying,100,Shelf,25
129,Orectolobus_ornatus,3580,2.18,live-bearing,lecithotroph,lecithotrophic_lb,110,Shelf,50
130,Orectolobus_maculatus,12300,3.233,live-bearing,lecithotroph,lecithotrophic_lb,170,Shelf,55
131,Rhincodon_typus,1388120,35.43,live-bearing,lecithotroph,lecithotrophic_lb,2100,Pelagic,50
